ref;idArt;nombre;pvp;cantCaja;precioUnidad;tipoUnidad;pvpOferta;pvpTarifa;pvpFrio
000032;8;TORTITA BICENTURY MAIZ QUESO 125G;2,10;8;16,80;KILO;1,99;;
000036;23629;QUINA SANSON 1L 14º;5,99;6;5,99;Litro;5,40;5,75;
000037;11;VINO MILFLORES RIOJA TTO.75CL 12.5º;7,50;8;10,41;Litro;;;
000038;12;PIZZA DR.OETKER RIST.CARBO.340G;4,75;7;13,50;KILO;4,10;;
000039;16646;HELADO SPAR POLO NARAN.LIMON 480G;2,50;6;0,31;Unidad;2,35;;2,40
000066;13;QUESO G.CAPITAN TABLA 8 CUÑAS 180G;3,85;12;21,38;KILO;;;
000071;14;MOZZARELLA ORO HOLANDA RALL.200G;1,99;20;12,59;KILO;1,85;;
000076;15;QUESO R.CROWN RALLADO PASTA 150G;1,75;20;12,50;KILO;1,55;1,65;
000077;16;QUESO R.CROWN RALLADO GRATIN 150G;1,75;18;11,96;KILO;;;
000084;18;CENTRO JAMON CAMPOFRIO G.REN.½P.E/K;14,50;4;14,31;KILO;12,00;;
000086;19;SALCH.CAMPOFRIO HOT DOG ESP.1,2K;6,35;7;5,15;KILO;5,90;;
000094;20;ETIQUETA ADH 100X50 BCA.MATE 750U;6,20;30;0,01;Unidad;;;
000095;101;COCA-COLA ZERO 1,5L;1,95;12;1,29;Litro;1,75;;
000096;102;PATATAS FRITAS LAY'S 200G;2,65;10;13,25;KILO;2,30;;
000097;103;ARROZ BOMBA D´ORO 1KG;2,15;20;2,15;KILO;2,05;2,10;
000098;104;LECHE ENTERA ASTURIANA 1L;1,05;24;1,05;Litro;0,99;;
000099;105;YOGUR NATURAL DANONE 4U;1,45;12;0,36;Unidad;;;
000100;106;FILETE MERLUZA CONGELADO 500G;4,75;8;9,50;KILO;4,25;;
000101;107;PAN DE MOLDE BIMBO 450G;1,65;16;3,67;KILO;1,50;;
000102;108;NOCILLA NUTELLA 400G;3,45;6;8,63;KILO;3,20;;
000103;109;GALLETAS MARÍA FONTANEDA 300G;1,25;20;4,17;KILO;;1,10;
000104;110;ACEITE OLIVA VIRGEN EXTRA 1L;7,25;12;7,25;Litro;6,80;7,00
000105;111;ATÚN AL NATURAL CALVO 3L;3,00;24;1,00;Unidad;2,70;;
000106;112;PASTA SPAGHETTI GALL ORO 500G;0,95;20;1,90;KILO;0,85;;
000107;113;TOMATES PERA LATA 400G;1,35;12;3,38;KILO;1,20;;
000108;114;CERVEZA ESTRELLA DAMM 6L;6,90;4;1,15;Litro;;;
000109;115;MANZANAS GOLDEN 1KG;2,50;10;2,50;KILO;2,15;;
000110;116;POLLO ENTERO 2KG;6,10;5;3,05;KILO;5,50;;
000111;117;HUEVOS L XL 12U;2,55;6;0,21;Unidad;2,30;;
000112;118;LANGOSTINOS CONGELADOS 400G;8,99;8;22,48;KILO;8,40;;
000113;119;HELADO MAGNUM 4U;4,75;6;0,79;Unidad;4,40;;
000114;120;REFRESCO NARANJA 2L;1,75;8;0,88;Litro;1,55;;
000115;121;QUESO CURADO OVEJA 250G;3,99;10;15,96;KILO;3,60;;
000116;122;SALMÓN AHUMADO 200G;6,25;12;31,25;KILO;5,75;;
000117;123;PEPINO 1U;0,70;20;0,70;Unidad;0,60;;
000118;124;LECHE CONDENSADA 370G;1,95;12;5,27;KILO;1,75;;
000119;125;MANTEQUILLA 250G;2,25;10;9,00;KILO;2,05;;
000120;126;PIZZA MARGARITA 330G;3,40;6;10,30;KILO;3,10;;
000121;127;EMPANADILLAS CARNE 6U;3,20;8;0,53;Unidad;2,90;;
000122;128;ZUMO PIÑA 1L;1,55;12;1,55;Litro;1,40;;
000123;129;SALCHICHAS FRANKFURT 250G;2,35;15;9,40;KILO;2,10;;
000124;130;BACON AHUMADO 200G;2,95;12;14,75;KILO;2,70;;
000125;131;CALDO DE POLLO PASTILLAS 10U;1,20;24;0,12;Unidad;1,05;;
000126;132;AGUA MINERAL 1,5L;0,60;20;0,40;Litro;0,50;;
000127;133;CROQUETAS JAMÓN 500G;3,10;8;6,20;KILO;2,80;;
000128;134;GARBANZOS COCIDOS 400G;1,15;12;2,88;KILO;1,05;;
000129;135;SALSA TOMATE 350G;1,05;15;3,00;KILO;0,95;;
000130;136;MAGDALENAS 6U;1,85;10;0,31;Unidad;1,65;;
000131;137;BONITO EN ACEITE 3L;3,60;12;1,20;Unidad;;;
000132;138;LASAÑA BOLOÑESA 400G;3,85;6;9,63;KILO;3,50;;
000133;139;FLAN DE HUEVO 4U;1,35;8;0,34;Unidad;1,20;;
000134;140;PAN PITA 6U;1,60;12;0,27;Unidad;1,45;;
000135;141;QUESO FRESCO BATIDO 500G;2,25;8;4,50;KILO;2,05;;
000136;142;PECHUGA TURQUIA 200G;2,65;10;13,25;KILO;2,40;;
000137;143;GELATINA SABORES 4U;0,99;12;0,25;Unidad;0,89;;
000138;144;ACEITE GIRASOL 1L;1,35;12;1,35;Litro;1,20;;
000139;145;CACAO EN POLVO 250G;2,50;10;10,00;KILO;2,30;;
000140;146;PALOMITAS MICROONDAS 3U;2,15;8;0,72;Unidad;1,95;;
000141;147;SOPA DE VERDURAS SOBRE 4U;1,50;12;0,38;Unidad;1,35;;
000142;148;ZANAHORIAS BANDEJA 500G;0,85;15;1,70;KILO;0,75;;
000143;149;CEBOLLAS 1KG;1,30;10;1,30;KILO;1,15;;
000144;150;PATATAS CHIPS 150G;1,75;12;11,67;KILO;1,55;;
