ref;idArt;nombre;pvp;cantCaja;precioUnidad;tipoUnidad;pvpOferta;pvpTarifa;pvpFrio
000201;201;TALADRO PERCUTOR BOSCH GSB 13 RE 600W;45,99;2;22,99;Unidad;42,50;44,00;
000202;202;MARTILLO GOMA STANLEY 500GR;12,50;8;1,56;Unidad;11,99;;
000203;203;TORNILLOS ACERO GALV 3,5X40MM 250U;3,20;15;0,013;Unidad;;;3,00
000204;204;CINTA ADHESIVA AMERICANA 48X50 GRIS;2,15;10;0,215;Unidad;1,95;2,05;
000205;205;LLAVE INGLESA AJUSTABLE BELLOTA 300MM;8,75;6;1,46;Unidad;7,99;;
000206;206;SACO CEMENTO PORTLAND 25KG;4,50;40;0,18;KILO;;;4,25
000207;207;ARENA FINA SACO 25KG;3,20;30;0,128;KILO;2,95;;
000208;208;PINTURA PLASTICA BLANCA 10L;22,99;2;2,30;Litro;21,50;22,00;
000209;209;RODILLO PINTURA 10CM MICROFIBRA;5,40;12;0,45;Unidad;4,99;;
000210;210;BROCHA CERDA NATURAL 40MM;3,75;20;0,19;Unidad;;;3,50
000211;211;DESTORNILLADOR ESTRELLA PZ2 150MM;2,10;24;0,088;Unidad;1,85;2,00;
000212;212;NIVEL BURBUJA ALUMINIO 60CM;18,50;4;4,63;Unidad;;;17,99
000213;213;METRO ENROLLABLE 5M ACERO;6,20;10;0,62;Unidad;5,75;;
000214;214;CINTA DE MEDIR FIBRA VIDRIO 50M;12,99;3;0,26;KILO;11,99;;
000215;215;HACHA HOJA ACERO MANGO MADERA 1,5KG;22,50;2;11,25;KILO;;;21,00
000216;216;SIERRA MANUAL CROSSCUT 480MM;16,80;5;3,36;Unidad;15,50;16,00;
000217;217;JUEGO BROCAS METAL 1-13MM 25PZ;8,99;8;0,36;Unidad;;;8,50
000218;218;LIJA GRANO 120 PAQ.5U;4,10;20;0,82;Unidad;3,85;;
000219;219;MASILLA PLASTICA 400G;5,75;12;1,44;KILO;5,25;;
000220;220;DISOLVENTE UNIVERSAL 1L;6,50;6;6,50;Litro;;;6,00
000221;221;TUERCA ACERO GALV M8 100U;2,85;30;0,029;Unidad;2,60;;
000222;222;ARANDELA PRESION M8 100U;1,95;40;0,020;Unidad;;;1,80
000223;223;CADENA ACERO GALV 3MM 25M;9,40;4;0,38;KILO;8,75;;
000224;224;CANDADO SEGURIDAD 40MM;4,20;15;0,28;Unidad;3,89;;
000225;225;BISAGRA ACERO CROMO 100X60 PAR;7,50;10;0,75;Unidad;;;7,15
000226;226;TIRADOR ALUMINIO 128MM;3,20;20;0,16;Unidad;2,95;3,05;
000227;227;CLAVOS ACERO GALV 4X100 1KG;2,40;25;2,40;KILO;;;2,20
000228;228;ESPIGA MADERA 8MM CAJA 500U;5,20;12;0,010;Unidad;4,85;;
000229;229;TORNILLO CABEZA PLANA 4X40 200U;3,10;15;0,015;Unidad;;2,95;
000230;230;MANGUERA JARDIN 25M REFORZADA;18,99;3;0,76;KILO;17,50;;
000231;231;GRIFO PATIO LATON 1/2;12,40;8;1,55;Unidad;11,20;12,00;
000232;232;CODO PVC 20MM 10U;2,20;20;0,22;Unidad;;;2,05
000233;233;TE PVC 25MM 5U;3,85;15;0,77;Unidad;3,55;;
000234;234;ABRAZADERA ACERO INOX 16-27MM;1,50;50;0,03;Unidad;;;1,40
000235;235;ADHESIVO SILICONA BLANCA 300ML;4,10;10;0,41;Unidad;3,75;3,95;
000236;236;ESPUMA EXPANSIVA 500ML;6,80;12;0,57;Unidad;;;6,40
000237;237;MASCARILLA FFP2 PACK 50U;8,99;5;0,18;Unidad;8,25;;
000238;238;GUANTES LATEX NEGROS 100U;3,95;20;0,040;Unidad;;3,75;
000239;239;GAFAS PROTECCION POLICARBONATO;2,75;30;0,092;Unidad;2,50;;
000240;240;FOCO LED 9W E27 BLANCO FRIO;3,20;24;0,133;Unidad;;;3,00
000241;241;BOMBILLA HALOGENA 60W E14;4,50;10;0,45;Unidad;4,10;4,30;
000242;242;TUBO NEON LED 20W 120CM;12,50;8;1,56;Unidad;;;11,99
000243;243;LUMINARIA EMERGENCIA 3W BLANCA;15,80;4;3,95;Unidad;14,50;;
000244;244;REGLETA ENCHUFES 6 TOMAS 2M;8,20;12;0,68;Unidad;7,50;;
000245;245;CABLE ELECTRICO H05VV-F 2X1.5 50M;24,99;2;0,50;KILO;;;23,50
000246;246;ENCHUFE SCHUKO BLANCO 10A;0,95;50;0,019;Unidad;0,85;;
000247;247;INTERRUPTOR SIMPLE BLANCO 10A;1,20;40;0,030;Unidad;;;1,10
000248;248;CAJA EMPOTRAR PLADUR REDONDA;2,50;20;0,125;Unidad;2,25;2,40;
000249;249;TUERCA CIEGA COBRE M6 50U;3,75;15;0,075;Unidad;;;3,50
000250;250;SOPORTES METAL L 50X50 PAR;6,95;8;0,87;Unidad;6,40;;
